code,label_en
P51G_RAT_GDP_S1,Total investment to GDP ratio (S1_P51G/B1GQ*100)
P51G_RAT_GDP_S13,Government investment to GDP ratio (S13_P51G/B1GQ*100)
P51G_RAT_GDP_S14,Household investment to GDP ratio (S14_P51G/B1GQ*100)
P51G_RAT_GDP_S14_S15,Household investment to GDP ratio (S14_S15_P51G/B1GQ*100)
P52,Changes in inventories
P52_P53,Changes in inventories and acquisitions less disposals of valuables
P53,Acquisitions less disposals of valuables
P5G,Gross capital formation
P6,Exports of goods and services
P61,Exports of goods
P61X71,Exports less imports of goods
P62,Exports of services
P62F,Exports of FISIM
P62X72,Exports less imports of services
P6X7,Exports less imports of goods and services
P6_S21,Exports of goods and services to the European Union
P6_S211,Exports of goods and services to the EU Member States
P6_S2111,Exports of goods and services to members of the Monetary Union
P6_S2112,Exports of goods and services to non-members of the Monetary Union
P6_S212,Exports of goods and services to the institutions of the EU
P6_S22,Exports of goods and services to third countries and international organisations
P7,Imports of goods and services
P71,Imports of goods
P72,Imports of services
P72F,Imports of FISIM
P7_S21,Imports of goods and services from the European Union
P7_S211,Imports of goods and services from the EU Member States
P7_S2111,Imports of goods and services from members of the Monetary Union
P7_S2112,Imports of goods and services from non-members of the Monetary Union
P7_S212,Imports of goods and services from the institutions of the EU
P7_S22,Imports of goods and services from third countries and international organisations
PLI_EU15,Price level indices (EU15=100)
PLI_EU27_2007,Price level indices (EU27_2007=100)
PLI_EU27_2020,Price level indices (EU27_2020=100)
PLI_EU28,Price level indices (EU28=100)
POP_NC,Total population national concept
PPP_EU15,Purchasing power parities (EU15=1)
PPP_EU27_2007,Purchasing power parities (EU27_2007=1)
PPP_EU27_2020,Purchasing power parities (EU27_2020=1)
PPP_EU28,Purchasing power parities (EU28=1)
PTC,Total payable tax credits
RLPR_HW,Real labour productivity per hour worked
RLPR_PER,Real labour productivity per person
ROCE_S11,"Gross return on capital employed, before taxes, of non-financial corporations: (B2G_B3G/(AF2+AF3+AF4+AF5, liab - assets)*100)"
ROE_S11,"Net return on equity, after taxes, of non-financial corporations: ((B4N-D5PAY)/(AF5, liab - assets)*100)"
SAL_DC,Employees domestic concept
SAL_NC,Employees national concept
SELF_DC,Self-employed domestic concept
SELF_NC,Self-employed national concept
SRG_S14,Gross household saving rate (B8G/(B6G+D8Net)*100)
SRG_S14_S15,Gross household saving rate (B8G/(B6G+D8Net)*100)
TAXABT,Tax abatements
TC,Payable tax credits that exceed the taxpayer's liability
TE,Total general government expenditure
TLGCE,Total outstanding liabilities of government controlled entities classified outside general government
TOTAL,Total
TR,Total general government revenue
TRF_CUR,Current transfers (including subsidies)
TRF_CUR_D9,Current and capital transfers (including subsidies)
TRF_CUR_D9_EPS,"Current and capital transfers (including services), of which EP services"
TRF_CUR_XD3,Current transfers (excluding subsidies)
VI_PPS_EU15_HAB,Volume indices of real expenditure per capita (in PPS_EU15=100)
VI_PPS_EU27_2007_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2007=100)
VI_PPS_EU27_2020_HAB,Volume indices of real expenditure per capita (in PPS_EU27_2020=100)
VI_PPS_EU28_HAB,Volume indices of real expenditure per capita (in PPS_EU28=100)
YA0,Statistical discrepancy (expenditure approach)
YA1,Statistical discrepancy (production approach)
YA2,Statistical discrepancy (income approach)
YA3,Total statistical discrepancies
YA3O,Statistical discrepancies: other statistical discrepancies (+/-)
